MgO,Al2O3,SiO2,P2O5,S,Cl,K2O,CaO,TiO2,V,MnO,Fe2O3,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Mo,Ag,Sn,Ba,W,Hg,Pb,Classification
3.9801,0.067075,0,0.483375,0,0.062675,0.077825,67.43505,0.111275,0.002475,0.154925,1.81695,0.0054,0.000575,0,0,0.00175,0.012525,0.000475,0.0078,0,0.005675,0,0,0,0,0,limestone
3.608025,0,0,0.42755,0,0.052825,0,63.822075,0.0476,0,0.126725,1.376675,0.00565,0.002125,0,0,0.000975,0.014525,0.0008,0.004775,0,0,0,0,0,0,0,limestone
3.308325,0.0771,0,0.4703,0.004575,0.05885,0,58.454275,0.081225,0.00515,0.123025,1.0193,0.004225,0.0011,0,0,0.000875,0.01865,0.000275,0.003975,0,0,0.00735,0,0,0,0,limestone
2.775075,0.59065,0,0.436875,0,0.045825,0.23315,62.788725,0.1557,0,0.12525,1.989425,0.00565,0.001225,0,0,0.0042,0.016075,0.00115,0.00655,0,0.00535,0.006225,0,0,0,0,limestone
2.899475,0.55845,0,0.35105,0,0.072325,0.16915,63.4571,0.34655,0,0.14595,2.1954,0.00555,0,0,0,0.004,0.014825,0.0008,0.00795,0.00125,0.005,0.0064,0,0,0,0,limestone
2.621325,0.101225,0,0.563075,0,0.2086,0,70.144875,0.0742,0.002325,0.059575,0.355,0.0063,0.001325,0,0,0.004,0.005775,0,0.004325,0,0,0,0,0,0,0,marble
0,0,0,0.565775,0,0.1878,0,73.51185,0,0.033975,0.03265,0.18035,0.006525,0,0,0,0,0.00385,0,0.00415,0.000975,0,0,0,0,0,0,marble
1.013025,0,0,0.48205,0,0.0681,0,72.728525,0.066325,0,0.04305,0.15385,0.00615,0.000525,0,0,0,0.0045,0,0.004375,0,0.00595,0,0,0,0,0,marble
1.320325,0.39145,0,0.430825,0,0.05515,0.16195,69.83055,0.131875,0,0.0342,0.539175,0.006575,0.002175,0,0,0.004975,0.006275,0.000775,0.00555,0,0,0,0,0,0,0,limestone
5.937875,6.294725,23.672625,0.2319,0.0236,0,1.278375,39.03245,0.33805,0.002225,0.02285,1.7109,0.00425,0.0029,0,0,0.01905,0.02245,0,0.010125,0,0.00715,0,0.01555,0,0,0,altered limestone
3.992925,18.18815,36.853675,0.37765,0.065375,0.13135,1.2543,32.3023,1.296025,0.016275,0.05355,2.922375,0.0006,0,0.01535,0.00295,0.008225,0.007925,0.000575,0.020475,0.000575,0.002225,0,0.03585,0,0,0.000475,altered limestone
2.5144,9.568075,27.232,0.343525,0.036625,0.08605,0.356,25.25945,1.126675,0.00725,0.082325,2.636725,0.0006,0.00035,0.0092,0.00235,0.00505,0.0056,0.00105,0.01205,0,0.00275,0,0,0,0,0,altered limestone
0.4151,0.0449,0,0.485225,0,0.062325,0,68.892775,0.035325,0.01215,0.02165,0.211,0.00605,0.001125,0,0,0,0.006625,0,0.003975,0,0.0107,0,0,0,0,0,marble
1.09055,0.082175,0,0.5404,0,0,0,64.368275,0.027175,0.023,0.03415,0.161325,0.0044,0,0,0,0,0.008625,0,0.002625,0.00125,0,0,0,0,0,0,marble
2.1251,0,0,0.555375,0,0.02955,0,71.36615,0.016725,0.003525,0.030675,0.160625,0.006625,0,0,0,0,0.00475,0,0.0038,0,0,0,0,0,0,0,marble
1.046525,0,0,0.454925,0,0.039125,0,64.239375,0.02345,0,0.0116,0.11575,0.004675,0.0006,0,0,0,0.007725,0,0.0018,0.000975,0,0.006625,0,0,0,0,marble
1.76555,0,0,0.298475,0.0545,0.02425,0,37.047425,0.015725,0,0.00345,0.097375,0.001375,0,0,0,0,0.011275,0,0.0006,0,0,0,0,0,0,0,marble
0,0,0,0.49755,0,0.074425,0,73.2021,0.032775,0,0.0168,0.123325,0.00625,0,0,0,0,0.003675,0,0.003675,0,0.005525,0,0,0,0,0,marble
0,0,0,0.450433333,0,0.062233333,0,63.6694,0.049033333,0.015066667,0.0081,0.0964,0.004966667,0.0008,0,0,0,0.006766667,0,0.0018,0,0,0,0,0,0,0,marble
1.344266667,0,0,0.450866667,0,0.066266667,0,59.81303333,0.017,0,0.012933333,0.123166667,0.003766667,0.000666667,0,0,0,0.009,0,0.0012,0,0,0,0,0,0,0,marble
0,0,0,0.560366667,0,0,0,71.50986667,0.0166,0.0606,0.0207,0.175933333,0.0062,0.000733333,0,0,0,0.0046,0,0.004,0.001266667,0,0,0,0,0,0,marble
0.46755,0,0,0.49375,0,0.07375,0,70.532,0.00465,0.01775,0.01375,0.1328,0.0056,0,0,0,0,0.00545,0,0.004,0.000875,0.00665,0.00545,0,0,0,0,marble
1.1363,0,0,0.5796,0,0.1222,0,71.12415,0.10805,0.01245,0.0235,0.15905,0.00615,0.00255,0,0,0,0.0048,0,0.00385,0,0,0,0,0,0,0,marble
8.563794595,20.24033998,39.00915435,0.352985003,0.017990448,0.009491512,0.226710667,27.02813613,0.826692118,0.01625344,0.075683955,3.600912302,0.00328791,0,0,0.000372216,0.001116649,0.004776774,0.001643955,0.019572367,0,0,0,0,0,0,0.001085631,altered limestone
0.741933333,3.485433333,9.329266667,0.3266,0,0.0104,0.614,56.53003333,0.467566667,0,0.024266667,0.7868,0.003966667,0.001433333,0,0,0.008533333,0.014466667,0.000533333,0.009466667,0,0,0,0,0,0,0,altered limestone
1.696766667,0,0,0.510366667,0,0.0479,0,65.18353333,0.0252,0,0.017966667,0.143066667,0.0052,0.000633333,0,0,0,0.0081,0,0.002566667,0,0,0,0,0,0,0,marble
2.56298,0,0.20634,0.37204,0.05078,0.06634,0,48.64392,0.02644,0.0106,0.02584,0.15542,0.00174,0.00042,0,0,0,0.01044,0,0.00032,0,0.00414,0,0,0,0,0,marble
